freq,psd_x,psd_y,psd_z,psd_xyz
136.5,7.331e+02,7.011e+01,9.141e+01,8.946e+02
138.1,7.788e+02,6.986e+01,1.187e+02,9.674e+02
139.6,7.605e+02,6.870e+01,1.575e+02,9.866e+02
141.1,6.417e+02,6.372e+01,1.562e+02,8.616e+02
142.7,4.666e+02,6.671e+01,1.899e+02,7.232e+02
144.2,3.891e+02,1.035e+02,2.420e+02,7.346e+02
145.7,3.224e+02,1.399e+02,2.747e+02,7.370e+02
147.3,2.845e+02,1.672e+02,2.833e+02,7.349e+02
148.8,2.940e+02,1.958e+02,2.701e+02,7.598e+02
150.3,3.538e+02,2.149e+02,2.440e+02,8.127e+02
151.9,4.348e+02,2.152e+02,2.215e+02,8.715e+02
153.4,4.849e+02,1.883e+02,1.668e+02,8.401e+02
154.9,6.903e+02,2.093e+02,1.839e+02,1.083e+03
156.5,9.271e+02,2.908e+02,2.455e+02,1.463e+03
158.0,1.627e+03,4.875e+02,3.621e+02,2.476e+03
159.5,2.956e+03,7.654e+02,6.296e+02,4.351e+03
161.1,3.455e+03,7.654e+02,9.277e+02,5.148e+03
162.6,2.714e+03,5.235e+02,1.043e+03,4.280e+03
164.1,1.933e+03,3.596e+02,1.136e+03,3.429e+03
165.7,1.376e+03,2.808e+02,1.255e+03,2.911e+03
167.2,1.018e+03,2.718e+02,1.403e+03,2.693e+03
168.7,8.741e+02,3.376e+02,1.728e+03,2.939e+03
170.3,8.941e+02,4.889e+02,2.324e+03,3.707e+03
171.8,9.145e+02,6.413e+02,2.753e+03,4.309e+03
173.4,9.870e+02,8.425e+02,2.889e+03,4.718e+03
174.9,1.181e+03,1.135e+03,2.856e+03,5.172e+03
176.4,1.574e+03,1.406e+03,2.472e+03,5.452e+03
178.0,1.801e+03,1.432e+03,1.679e+03,4.913e+03
179.5,1.777e+03,1.234e+03,9.205e+02,3.932e+03
181.0,1.667e+03,1.001e+03,5.180e+02,3.186e+03
182.6,1.424e+03,7.934e+02,3.258e+02,2.543e+03
184.1,1.089e+03,5.784e+02,2.096e+02,1.877e+03
185.6,8.480e+02,4.322e+02,1.409e+02,1.421e+03
187.2,6.555e+02,3.294e+02,1.155e+02,1.100e+03
188.7,5.297e+02,2.508e+02,1.063e+02,8.868e+02
190.2,4.664e+02,2.216e+02,1.034e+02,7.913e+02
191.8,4.534e+02,2.156e+02,9.690e+01,7.659e+02
193.3,4.575e+02,2.248e+02,9.385e+01,7.761e+02
194.8,4.898e+02,2.441e+02,1.013e+02,8.351e+02
196.4,5.343e+02,2.606e+02,1.091e+02,9.041e+02
197.9,5.195e+02,2.567e+02,1.044e+02,8.806e+02
199.4,5.112e+02,2.546e+02,1.088e+02,8.747e+02
